resposta,nota
tanto parte qualitativa quanto quantitativa científicas primeira reducionista observar apenas variáveis segue critérios tradicionais validade interna externa fidedigna parte quantitativa enfrenta objetos complexos regi,5
ciência psicologia divide dois parâmetros sendo linha social usuários pesquisa qualitativa caracterizam empenho enquadrarem rigor científico utilizandose abordagens múltiplas psicologia linha biológica u,6
pesquisas psicologia podem quantitativas envolvem validação interna externa fidedignidade podem qualitativas onde focalização problema feita forma gradativa,6
cientificidade psicologia dá através duas vertentes social biológica social utiliza pesquisas qualitativas critérios cientificidadr várias abordagens biológica utiliza pesquisas quantitativas critér,6
podese conferir cientificidade psicologia caracterizála campo saber dotado perspectiva biológica social ademais vale acrescentar psicologia serve trabalha diversas abordagens,4
apesar abrangência tantos aspectos quantitativos quanto aspectos qualitativos psicologia científicos primeiro tanto quanto reducionista considerar apenas variáveis além manter critérios tradicionais controle previ,9
psicologia social pesquisa qualitativa usa várias abordagens alcançar cientificidade psicologia biológica pesquisas quantitativas baseada ciências naturais sempre buscando conhecimento científico,3
cientificidade psicologia através escolha abordagem possui aspectos rigorosos observação interpretação dados podem quantitativoreducionista qualitativocomplexos todas critérios sistematização,5
dois tipos pesquisas quali quanti podemos consideralas científicas quantitativa reducionista devido variáveis sendo internas externas características previsão controle fidedignidade qualitativa complexa busca,5
cientificidade psicologia relacionada metodologia científica fato psicologia trabalhar experimentação hipóteses refutadas confirmadas,3
cientificidade psicologia dividida biológico social social caráter qualitativo busca critérios adequados abordagens múltiplas biológica busca critérios tradicionais ciências naturais quantitativo,6
utiliza métodos qualitativos quantitativos critérios científicos quantitativo previsão controle base naturalista qualitativo objetivo complexo,6
psicologia sendo tanto qualitativa quanto quantitativa cientifica qualitativamente abrange área biológica reducionista tradicional utilizando critérios validade tanto internos quanto externos quantitativamente abrange área social critér,5
psicologia cientifica dois parâmetros linhagem social adeptos pesquisas qualitativas buscando critérios cientificidade abordagens múltiplas linhagem biológica utilizam pesquisas quantitativas baseandose,10
dá dois aspectos social utilizado pesquisas qualitativas busca cientificidade abordagens múltiplas biológica utilizada pesquisas quantitativas busca cientificidade tradicional ciências naturais,7
tanto métodos quantitativos quanto qualitativos científicos sendo primeiro método tradicional fazer ciência onde busca controle variáveis afim testar teorias obtendo previsão controle métodos quali vão utiliza,8
cientificidade psicologia pode âmbito qualitativo quantitativo pois dois ciências quantitativa reducionista variáveis tradicionais validade interna controle validade externa precisão fidedignidade qualitati,9
psicologia ciência faz uso diversas teorias outras áreas,0
psicologia composta diferentes abordagens estruturam diferentes métodos paradigmas indo polo quanti polo quali caracterizam ciências polo quanti preocupação validade interna controle valida,7
abrange muitas abordagens onde quantitativa qualitativa científicas qualitativa pode detalhada subjetiva quantitativa reducionista estudando variáveis método previsão controle reaplicação direta,8
cientificidade psicologia grande abragência parte qualitativa social qualitativa biológica,2
cientificidade psicologia passa duras diretrizes quanti quali quanti perfil reducionista presa controle previsão variáveis replicabilidade parte quali reducionista buscam avaliar diversos contextos,6
cientificidade psicologia questionada falta unidade teórica objeto estudo comum toda psicologia porém considerada ciência,1
psicologia considerada sim científica duas vertentes biológica quantitativa segue método tradicional social qualitativa trabalhando subjetividade,6
cientificidade psicologia ocorre tanto plano quanti qualitativo plano quanti faz ciência analise variáveis internas uso previsibilidade controle fidedignidade plano quali faz ciência questões complexas qu,8
tanto qualitativa quanto quantitativa científicas sendo qualitativa processo intenso buscando porquê quê coisas utiliza bastante entrevistas processos subjetivos enquanto quantitativa objetiva buscando m,5
científicos tantos parâmetros quanti biológico quali social sendo quanti abrange ciências naturais enquanto quali fica critério cientificidade múltiplas abordagens,4
pode considerada científica dois polos biológico social deu múltiplas abordagens,2
cientificidade pesquisa qualitativas,0
amplas teorias psicologia partes qualitativas quantitativas parte quali composta múltiplas abordagens usam campo aberto pesquisa questionamentos quanti busca critérios tradicionais comportamento validad,6
cientificidade psicologia pode definida pesquisa quantitativa pesquisa qualitativa pesquisa quantitativa caracterizada objetiva uso experimentos controle variáveis pesquisa qualitativa objetos complex,6
duas áreas pesquisa psicologia socialquali biológica quanti pesquisa quali busca cientificidade através abordagens múltiplas quanti utiliza métodos tradicionais podendo chamada reducionista,5
psicologia ciência ainda busca critérios específicos cientificidade existe psicologia base biológica enquadra ciências naturais química física etc,5
cientificidade psicologia meio dois âmbitos social teórico cientificidade busca neutralidade observação reaplicabilidade futuramente instrumento sociedade contudo enquanto qualitativa ainda busca meios manter c,4
psicologia ciência busca critérios cientificidade baseada realidades múltiplas dividise 2 linhas básicas social qualitativa outra biológica quantitativa critério cientificidade observado psicolog,4
abrangente áreas qualitativas social quantitativas biologia cientificas onde área quantitativa olhar reducionista observando apenas variáveis enquanto área qualitativa enfrenta objetos complexos humanos registrando dados aberto,6
debate citado entra discussões ciências sociais serem consideradas ciências pleno direito questão ciência definição precisa pesquisas hipóteses testes teses comprovações cobre requisito,3
tanto área quantitativa observa situações especificas área qualitativa observando construtos psicológicos específicos buscando clareza análise explicação,4
